epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,41761.1,1.36565,0.64092,1.30056,0.93348,0.90925,0.95752,0.5943,1.30009,0.54312,1.38516,0.001981,0.001981,0.001981
83,42103.7,1.36845,0.63965,1.30013,0.93346,0.90866,0.95749,0.59437,1.29947,0.54239,1.38425,0.001882,0.001882,0.001882
84,42442.9,1.35976,0.63713,1.29708,0.93004,0.91345,0.95752,0.5942,1.2991,0.54153,1.38399,0.001783,0.001783,0.001783
85,42782.7,1.35687,0.63702,1.29165,0.93086,0.91303,0.95778,0.59452,1.29884,0.54112,1.38345,0.001684,0.001684,0.001684
86,43121.7,1.34901,0.63337,1.29113,0.93003,0.91383,0.95773,0.59471,1.29855,0.54037,1.38293,0.001585,0.001585,0.001585
87,43462.4,1.35414,0.63172,1.28567,0.93245,0.91219,0.95809,0.59491,1.29802,0.53967,1.38253,0.001486,0.001486,0.001486
88,43801.1,1.34877,0.63213,1.28781,0.9324,0.91245,0.95799,0.59493,1.29785,0.53932,1.38204,0.001387,0.001387,0.001387
89,44139.9,1.35227,0.62974,1.29179,0.93299,0.912,0.95852,0.59529,1.29717,0.53882,1.38132,0.001288,0.001288,0.001288
90,44483.9,1.34601,0.62978,1.28598,0.93344,0.91161,0.95792,0.59531,1.29691,0.53842,1.38108,0.001189,0.001189,0.001189
91,44832.2,1.3026,0.58302,1.31043,0.93431,0.91288,0.95847,0.59551,1.29729,0.5383,1.38149,0.00109,0.00109,0.00109
92,45166.1,1.29195,0.57653,1.30973,0.93431,0.91376,0.9587,0.59554,1.29717,0.53775,1.38148,0.000991,0.000991,0.000991
93,45500.4,1.28364,0.57127,1.30224,0.93454,0.91319,0.95848,0.59524,1.29683,0.53721,1.38127,0.000892,0.000892,0.000892
94,45835.3,1.28034,0.56837,1.30645,0.93472,0.91258,0.95828,0.59548,1.29647,0.53645,1.38103,0.000793,0.000793,0.000793
95,46169.2,1.28042,0.56617,1.30229,0.93441,0.91198,0.95841,0.59573,1.29617,0.53598,1.38093,0.000694,0.000694,0.000694
96,46503.5,1.28036,0.56654,1.29986,0.93546,0.91079,0.95838,0.59568,1.29597,0.53546,1.38075,0.000595,0.000595,0.000595
97,46840.3,1.27619,0.56422,1.29917,0.93583,0.91025,0.9584,0.5957,1.29557,0.53506,1.3807,0.000496,0.000496,0.000496
98,47177.6,1.27491,0.56431,1.29471,0.93724,0.9085,0.95818,0.59574,1.2956,0.53469,1.38092,0.000397,0.000397,0.000397
99,47517,1.27054,0.56096,1.29423,0.93689,0.90872,0.95806,0.59554,1.2955,0.53461,1.38104,0.000298,0.000298,0.000298
100,47851.3,1.26374,0.55702,1.29584,0.93699,0.9088,0.9584,0.5959,1.29552,0.53434,1.38117,0.000199,0.000199,0.000199
