epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,28776.9,1.34822,0.60655,1.13091,0.91356,0.87954,0.93011,0.5593,1.31902,0.56024,1.22584,0.002476,0.002476,0.002476
78,29150.2,1.35176,0.60655,1.13018,0.91168,0.87942,0.93077,0.56103,1.31835,0.55907,1.2254,0.002377,0.002377,0.002377
79,29523.2,1.34284,0.60375,1.12817,0.91166,0.87767,0.93055,0.56097,1.31644,0.55841,1.22436,0.002278,0.002278,0.002278
80,29896.7,1.34492,0.60383,1.1264,0.91276,0.87754,0.93117,0.56145,1.31575,0.55777,1.22422,0.002179,0.002179,0.002179
81,30270,1.33941,0.60015,1.12733,0.91625,0.87603,0.93212,0.56153,1.31635,0.55735,1.2246,0.00208,0.00208,0.00208
82,30643.2,1.34268,0.60184,1.12812,0.91337,0.87896,0.93168,0.56131,1.3161,0.55695,1.22417,0.001981,0.001981,0.001981
83,31015.9,1.33882,0.60037,1.12826,0.91289,0.87957,0.93183,0.56152,1.31542,0.5562,1.22379,0.001882,0.001882,0.001882
84,31389.2,1.34325,0.59909,1.12844,0.91219,0.87893,0.93178,0.56198,1.31464,0.55576,1.22327,0.001783,0.001783,0.001783
85,31763.3,1.33839,0.59815,1.12616,0.91275,0.87941,0.93223,0.56239,1.31407,0.55514,1.2229,0.001684,0.001684,0.001684
86,32136.3,1.33704,0.59568,1.12432,0.91161,0.8791,0.93292,0.56218,1.31443,0.55484,1.22314,0.001585,0.001585,0.001585
87,32509.2,1.33277,0.59324,1.12392,0.91152,0.87966,0.93242,0.56295,1.31408,0.55434,1.2229,0.001486,0.001486,0.001486
88,32882.1,1.3326,0.59383,1.12118,0.91153,0.88042,0.93214,0.56303,1.31404,0.55435,1.22287,0.001387,0.001387,0.001387
89,33255.8,1.32741,0.59137,1.12011,0.91262,0.88141,0.93337,0.56315,1.31359,0.55376,1.2226,0.001288,0.001288,0.001288
90,33628.6,1.31929,0.58823,1.11998,0.91517,0.87993,0.93283,0.56331,1.31312,0.5534,1.22244,0.001189,0.001189,0.001189
91,33981.4,1.29682,0.56684,1.1485,0.91622,0.88108,0.93338,0.56387,1.31221,0.5527,1.22189,0.00109,0.00109,0.00109
92,34334.3,1.28844,0.56191,1.14496,0.918,0.8802,0.93353,0.56452,1.31131,0.55192,1.22131,0.000991,0.000991,0.000991
93,34687.3,1.2852,0.5606,1.14218,0.92002,0.88056,0.9343,0.56532,1.30958,0.55058,1.22034,0.000892,0.000892,0.000892
94,35040.5,1.28625,0.55807,1.1432,0.92107,0.88013,0.93436,0.56598,1.30825,0.54953,1.21958,0.000793,0.000793,0.000793
95,35393.4,1.27845,0.55431,1.13607,0.92147,0.88043,0.93452,0.56683,1.30706,0.54882,1.21885,0.000694,0.000694,0.000694
96,35746.5,1.28064,0.55506,1.13863,0.92195,0.87928,0.93456,0.56739,1.30611,0.54823,1.21833,0.000595,0.000595,0.000595
97,36098.9,1.27639,0.55401,1.13885,0.92185,0.87869,0.93473,0.56773,1.30553,0.54775,1.21794,0.000496,0.000496,0.000496
98,36451.6,1.27325,0.55153,1.14001,0.92173,0.87834,0.93467,0.56778,1.30483,0.54732,1.21749,0.000397,0.000397,0.000397
99,36804.8,1.2731,0.54972,1.1367,0.92177,0.87837,0.9343,0.56788,1.30414,0.54688,1.21714,0.000298,0.000298,0.000298
100,37157.4,1.26719,0.54817,1.1348,0.92237,0.87856,0.93477,0.56848,1.30385,0.54662,1.217,0.000199,0.000199,0.000199
