epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,16589.7,1.356,0.59106,1.14109,0.91313,0.87762,0.92907,0.55731,1.32282,0.53917,1.23065,0.002674,0.002674,0.002674
76,16808.3,1.35743,0.59053,1.14161,0.91104,0.88027,0.92902,0.55849,1.32224,0.53854,1.23036,0.002575,0.002575,0.002575
77,17028.1,1.35273,0.58814,1.137,0.9159,0.87715,0.92891,0.55891,1.32155,0.53797,1.22994,0.002476,0.002476,0.002476
78,17247.7,1.35054,0.5856,1.13305,0.91581,0.877,0.93032,0.55946,1.32059,0.53693,1.22965,0.002377,0.002377,0.002377
79,17467,1.3508,0.5869,1.13727,0.91568,0.87779,0.92966,0.55983,1.32027,0.53638,1.22918,0.002278,0.002278,0.002278
80,17686.6,1.35338,0.58779,1.14098,0.91441,0.87904,0.93061,0.56014,1.31987,0.53612,1.22874,0.002179,0.002179,0.002179
81,17906.6,1.35528,0.58696,1.13802,0.91679,0.8797,0.93113,0.56114,1.31873,0.53509,1.22809,0.00208,0.00208,0.00208
82,18126.6,1.34785,0.58251,1.13743,0.91596,0.88248,0.93173,0.56143,1.31789,0.53462,1.22756,0.001981,0.001981,0.001981
83,18346.4,1.35241,0.58317,1.13634,0.91477,0.88278,0.93156,0.56156,1.31762,0.53442,1.22705,0.001882,0.001882,0.001882
84,18565.6,1.34411,0.58163,1.13568,0.91484,0.88386,0.93132,0.56096,1.3176,0.5343,1.22695,0.001783,0.001783,0.001783
85,18784.5,1.3425,0.57938,1.13287,0.91331,0.88321,0.9305,0.56169,1.31717,0.53396,1.22653,0.001684,0.001684,0.001684
86,19000.2,1.33379,0.57623,1.13174,0.91361,0.88343,0.93023,0.56115,1.31666,0.53366,1.22604,0.001585,0.001585,0.001585
87,19215.6,1.33774,0.57535,1.12805,0.9139,0.8842,0.9308,0.56201,1.31611,0.53323,1.2258,0.001486,0.001486,0.001486
88,19431.5,1.33542,0.57562,1.13192,0.91453,0.88274,0.93055,0.56142,1.31622,0.53315,1.22578,0.001387,0.001387,0.001387
89,19646.4,1.3366,0.57352,1.13254,0.91603,0.88196,0.93006,0.56174,1.3157,0.5325,1.22553,0.001288,0.001288,0.001288
90,19861.1,1.33206,0.57564,1.12738,0.91634,0.88048,0.93044,0.56202,1.31548,0.53243,1.22527,0.001189,0.001189,0.001189
91,20083.6,1.30975,0.55186,1.15805,0.91576,0.8811,0.92985,0.56189,1.31493,0.53193,1.22493,0.00109,0.00109,0.00109
92,20293.8,1.30024,0.54542,1.15643,0.91465,0.88271,0.93039,0.56203,1.31434,0.53123,1.2245,0.000991,0.000991,0.000991
93,20504.6,1.29154,0.53923,1.14884,0.91779,0.88156,0.93105,0.56236,1.31373,0.53075,1.22414,0.000892,0.000892,0.000892
94,20714.4,1.29053,0.53816,1.15471,0.91821,0.88141,0.9304,0.56256,1.31318,0.53023,1.22377,0.000793,0.000793,0.000793
95,20925,1.2928,0.53815,1.14928,0.91848,0.88291,0.93118,0.56314,1.3126,0.52971,1.22338,0.000694,0.000694,0.000694
96,21134.9,1.28974,0.53778,1.14885,0.91798,0.88208,0.9313,0.5636,1.31232,0.52925,1.22318,0.000595,0.000595,0.000595
97,21344.9,1.28763,0.53443,1.1502,0.91738,0.88341,0.93162,0.56383,1.31199,0.52891,1.22288,0.000496,0.000496,0.000496
98,21567.5,1.28543,0.53463,1.14629,0.91788,0.88307,0.93191,0.56396,1.31159,0.52824,1.22262,0.000397,0.000397,0.000397
99,21834.4,1.28386,0.53319,1.1458,0.91875,0.8827,0.9321,0.56404,1.31126,0.52803,1.22241,0.000298,0.000298,0.000298
100,22046.6,1.27772,0.53015,1.1455,0.92042,0.88239,0.93242,0.56426,1.31117,0.52778,1.2224,0.000199,0.000199,0.000199
